117-164G,117-164G,164G,164G,117G,117G,WT,WT
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.)
480,-0.024634182,480,0.057824001,480,-0.016486006,480,0.025069147
481.0400085,0.074233539,481.0400085,0.02496588,481.0400085,0.025072083,481.0400085,0.032882571
481.9400024,-0.058495171,481.9400024,0.016822556,481.9400024,-0.016589386,481.9400024,0.073576897
482.980011,0.025223225,482.980011,0.050158836,482.980011,0.057174593,482.980011,0.033358909
484.019989,-0.016583061,484.019989,0.059364293,484.019989,-0.00826952,484.019989,0.041392785
485.0700073,0.048919689,485.0700073,0.016513232,485.0700073,0.060816683,485.0700073,0.025073759
485.9700012,0.115089931,485.9700012,0.05831001,485.9700012,0.06820526,485.9700012,-0.067636117
487.0100098,0.057273772,487.0100098,0.050655566,487.0100098,0.059988517,487.0100098,0.084931463
488.0499878,0.033287007,488.0499878,0.04299707,488.0499878,0.017032294,488.0499878,0.050389256
488.9500122,-0.008756644,488.9500122,0,488.9500122,-0.008554247,488.9500122,0.059408631
490,0.061537378,490,0.051986761,490,0.04306484,490,0.033669747
491.0599976,0.071772695,491.0599976,0.044022996,491.0599976,0.008559885,491.0599976,0.042312279
491.9599915,0.017572531,491.9599915,-0.034524724,491.9599915,0.042410258,491.9599915,-0.008468691
493.0299988,0.059895609,493.0299988,0,493.0299988,0.067893848,493.0299988,-0.008394333
493.9299927,-0.042832058,493.9299927,0.071328588,493.9299927,0.008577874,493.9299927,-0.016917754
495,0.025481602,495,0.035413273,495,0.017050734,495,0.058609776
496.0599976,0.05978154,496.0599976,0.044141147,496.0599976,0.094295144,496.0599976,0.041903071
496.9599915,0.086471528,496.9599915,-0.008723491,496.9599915,-0.017145747,496.9599915,0.025122052
498.0299988,0.069121636,498.0299988,0.052021917,498.0299988,0.008588187,498.0299988,0.067321934
498.9299927,0.008535118,498.9299927,0.026243504,498.9299927,-0.008514841,498.9299927,0.067447372
500,0.034656338,500,-0.02584113,500,0.008592246,500,0.033973452
501.0400085,0.103288889,501.0400085,-0.017064847,501.0400085,0,501.0400085,0.04235135
501.9400024,0.017117865,501.9400024,0.052686114,501.9400024,0.034506258,501.9400024,0.042093214
502.980011,0,502.980011,0.077419356,502.980011,0.025908973,502.980011,0.127241567
504.019989,0.008506946,504.019989,0.034471169,504.019989,0.043146595,504.019989,0.084207691
505.0700073,-0.017142955,505.0700073,-0.026102163,505.0700073,0,505.0700073,0.076007091
505.9700012,-0.017066011,505.9700012,0.01706179,505.9700012,-0.008613043,505.9700012,0
507.0100098,0.068615936,507.0100098,0,507.0100098,0.069591239,507.0100098,0.11840225
508.0499878,0.008455372,508.0499878,0.008673328,508.0499878,0.025937421,508.0499878,0.025331207
508.9500122,0,508.9500122,0.105649613,508.9500122,0.026033985,508.9500122,0.085266761
510,0.042899307,510,0.035103425,510,0.068743877,510,0.085724331
511.0400085,0.034893963,511.0400085,0.05221387,511.0400085,0,511.0400085,0.008385533
511.9400024,0.035204761,511.9400024,0.069947802,511.9400024,-0.026439872,511.9400024,0.096796051
512.9799805,-0.008911624,512.9799805,0.043975376,512.9799805,0.121689394,512.9799805,0.096205145
514.0200195,0.027043106,514.0200195,0.08685758,514.0200195,0.017310172,514.0200195,0.069188595
515.0700073,0.026334502,515.0700073,0.042720072,515.0700073,0.043292295,515.0700073,0.109684274
515.9699707,0,515.9699707,0.025828004,515.9699707,0.051177949,515.9699707,0.103837661
517.0100098,0.078698158,517.0100098,0.112766951,517.0100098,0.131401435,517.0100098,0.112190828
518.0499878,0.097577415,518.0499878,0.128280774,518.0499878,0.054310441,518.0499878,0.08718092
518.9500122,0.157262921,518.9500122,0.120199531,518.9500122,0.1223787,518.9500122,0.094213575
520,0.078003794,520,0.145261899,520,0.061595317,520,0.042866942
521.039978,0.124453291,521.039978,0.034641933,521.039978,0.104739465,521.039978,0.181945786
521.9400024,0.086617582,521.9400024,0.068356782,521.9400024,0.087881953,521.9400024,0.025518017
522.9799805,0.061750181,522.9799805,0.145022735,522.9799805,0.017138842,522.9799805,0.104331501
524.0200195,0.069448665,524.0200195,0.086854562,524.0200195,0.052946005,524.0200195,0.09477856
525.0700073,0.095593154,525.0700073,0.053184889,525.0700073,0.172820523,525.0700073,0.103721887
525.9699707,0.113374725,525.9699707,0.112172432,525.9699707,0.079698913,525.9699707,0.153737098
527.0100098,0.071809419,527.0100098,0.120208815,527.0100098,0.108149029,527.0100098,0.103356503
528.0499878,0.103982531,528.0499878,0.137089595,528.0499878,0.127445355,528.0499878,0.083856739
528.9500122,0.062102985,528.9500122,0.069622122,528.9500122,0.09710709,528.9500122,0.163553417
530,0.155437723,530,0.146402806,530,0.148434013,530,0.136598021
531.039978,0.110733479,531.039978,0.09553919,531.039978,0.139775828,531.039978,0.144742444
531.9400024,0.15462324,531.9400024,0.189578369,531.9400024,0.129178941,531.9400024,0.161582485
532.9799805,0.127231866,532.9799805,0.078043707,532.9799805,0.141088501,532.9799805,0.123513423
534.0200195,0.137997657,534.0200195,0.121262513,534.0200195,0.189209878,534.0200195,0.160748571
535.0700073,0.077402703,535.0700073,0.155311659,535.0700073,0.128241301,535.0700073,0.086005233
535.9699707,0.120926291,535.9699707,0.088557482,535.9699707,0.193713561,535.9699707,0.086821385
537.0100098,0.162743688,537.0100098,0.216570213,537.0100098,0.136911288,537.0100098,0.205049336
538.0499878,0.120038755,538.0499878,0.232913226,538.0499878,0.191364244,538.0499878,0.190666035
538.9500122,0.121518284,538.9500122,0.146513835,538.9500122,0.155424312,538.9500122,0.178462178
540,0.15558283,540,0.168186247,540,0.196095154,540,0.18053335
541.0200195,0.146868244,541.0200195,0.230080351,541.0200195,0.22513552,541.0200195,0.243464232
542.0499878,0.179461107,542.0499878,0.199765727,542.0499878,0.180931538,542.0499878,0.103837661
542.9400024,0.121517234,542.9400024,0.070340179,542.9400024,0.14822565,542.9400024,0.212117866
543.9699707,0.188836336,543.9699707,0.168982014,543.9699707,0.251432747,543.9699707,0.184336647
545,0.20351918,545,0.113269031,545,0.172613189,545,0.227081582
546.0200195,0.161078379,546.0200195,0.123175457,546.0200195,0.174513981,546.0200195,0.253678322
