117-164G,117-164G,164G,164G,117G,117G,WT,WT
Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.),Wavelength (nm),Intensity (a.u.)
480,0.041127894,480,0.024744105,480,0.032988057,480,0.149608538
481.0400085,0.090502955,481.0400085,0.03271395,481.0400085,0.016364871,481.0400085,0.01664863
481.9400024,0.073006317,481.9400024,0.066602282,481.9400024,0.02529767,481.9400024,0.084066816
482.980011,0.107875764,482.980011,0.024869846,482.980011,0.025140367,482.980011,0.097920015
484.019989,0,484.019989,0.025828226,484.019989,0.075343445,484.019989,0.082891934
485.0700073,0.025089275,485.0700073,0.033906639,485.0700073,0.033428043,485.0700073,0.107735403
485.9700012,0.051282927,485.9700012,0.043062612,485.9700012,0.03370209,485.9700012,0.016603986
487.0100098,-0.008438107,487.0100098,0.01700579,487.0100098,0.084055506,487.0100098,0.032805439
488.0499878,-0.042572394,488.0499878,0.084463738,488.0499878,0.033727948,488.0499878,0.092344627
488.9500122,0.049407929,488.9500122,0.067540191,488.9500122,0.077402703,488.9500122,0.034378439
490,0.052106854,490,-0.050403651,490,0.025883267,490,0.017153246
491.0599976,0.077017866,491.0599976,0.008519411,491.0599976,0.061297584,491.0599976,0.025477491
491.9599915,0.079207227,491.9599915,-0.008588557,491.9599915,0.034592502,491.9599915,0.025696592
493.0299988,0.025925541,493.0299988,0.025980324,493.0299988,-0.018078443,493.0299988,0.077695385
493.9299927,-0.008737822,493.9299927,0.101591602,493.9299927,0.008751356,493.9299927,0.03462664
495,0.017570678,495,0.017169444,495,0.034782611,495,0.138092935
496.0599976,0.017360207,496.0599976,0.008551247,496.0599976,0.04359502,496.0599976,0.034723729
496.9599915,0.034999914,496.9599915,0.060033277,496.9599915,0.071083941,496.9599915,0.154297173
498.0299988,-0.017066156,498.0299988,0.033991061,498.0299988,0.017339136,498.0299988,0.077397384
498.9299927,0.051957946,498.9299927,-0.042119097,498.9299927,-0.026036015,498.9299927,0.105871454
